[2026-02-06 15:11:02] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [1040] Too many connections
[2026-02-19 17:34:14] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:50:10] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:50:12] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:50:12] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:50:12] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:50:12] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:50:43] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:50:43] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:50:43] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:51:03] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:55:50] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:55:50] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:55:52] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:55:54] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:55:55] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:55:55] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:55:57] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:55:59] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:00] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:00] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:02] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:02] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:02] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:03] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:03] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:05] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:05] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:05] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:06] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:06] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:07] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:07] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:09] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:09] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:09] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:09] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:09] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:30] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 17:56:35] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 18:01:37] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 18:01:39] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 18:02:03] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
[2026-02-19 18:22:04] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[08004] [1040] Too many connections
[2026-03-03 23:30:03] Erro de conexão DB: Host=186.209.113.149, Port=3306, DB=grupokey_platform, User=grupokey_platform, Erro: SQLSTATE[HY000] [2002] Connection refused
